objectid,geography_name,metric_name,year,metric_value,source,geography,Shape__Area,Shape__Length
19,Central,percent_of_adult_population_without_bachelors_degree,2014,29.4310723,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
20,Central,percent_of_population_identifying_as_nh_black,2020,10.35374812,Decennial Census,Planning district,5346237.8046875,12358.4878252745
21,Central,percent_of_population_in_poverty,2014,14.39289636,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
22,Central,percent_of_population_identifying_as_nh_multiracial,2023,4.23412115,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
23,Central,percent_of_population_identifying_as_nh_white,2020,67.06666842,Decennial Census,Planning district,5346237.8046875,12358.4878252745
24,Central,percent_of_population_identifying_as_hispanic,2014,6.50105306,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
25,Central,percent_of_population_identifying_as_nh_white,2020,67.06666842,Decennial Census,Planning district,5346237.8046875,12358.4878252745
26,Central,percent_of_population_with_a_disability,2019,9.29379229,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
27,Central,percent_of_population_identifying_as_nh_black,2019,12.69097778,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
28,Central,percent_of_population_identifying_as_hispanic,2023,5.8960657,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
29,Central,percent_of_population_with_a_disability,2014,8.91055154,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
30,Central,percent_of_population_reporting_no_checkup_in_past_year,2021,27.99096066,Behavioral Risk Factor Surveillance System PLACES Small Area Estimates,Planning district,5346237.8046875,12358.4878252745
31,Central,percent_of_population_identifying_as_nh_white,2010,67.00645426,Decennial Census,Planning district,5346237.8046875,12358.4878252745
32,Central,percent_of_population_identifying_as_nh_black,2010,15.42362463,Decennial Census,Planning district,5346237.8046875,12358.4878252745
33,Central,percent_of_population_reporting_no_checkup_in_past_year,2019,23.0900864,Behavioral Risk Factor Surveillance System PLACES Small Area Estimates,Planning district,5346237.8046875,12358.4878252745
34,Central,percent_of_population_identifying_as_nh_multiracial,2020,4.06606282,Decennial Census,Planning district,5346237.8046875,12358.4878252745
35,Central,percent_of_population_identifying_as_nh_multiracial,2020,4.06606282,Decennial Census,Planning district,5346237.8046875,12358.4878252745
36,Central,percent_of_population_identifying_as_nh_white,2019,67.25083398,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
37,Central,percent_of_population_age_65_or_older,2014,12.82211508,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
38,Central,percent_of_population_without_health_insurance,2014,7.28328061,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
39,Central,percent_of_population_identifying_as_nh_asian_pi,2019,10.86535972,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
40,Central,unemployment_rate_in_population_16_and_older,2014,6.29668683,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
41,Central,percent_of_population_identifying_as_nh_white,2014,66.78508293,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
42,Central,percent_of_population_identifying_as_hispanic,2019,5.73428384,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
43,Central,percent_of_population_identifying_as_nh_asian_pi,2020,11.50701704,Decennial Census,Planning district,5346237.8046875,12358.4878252745
44,Central,percent_of_population_reporting_no_checkup_in_past_year,2020,27.61800362,Behavioral Risk Factor Surveillance System PLACES Small Area Estimates,Planning district,5346237.8046875,12358.4878252745
45,Central,percent_of_population_without_health_insurance,2019,3.5866576,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
46,Central,unemployment_rate_in_population_16_and_older,2019,3.38566518,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
47,Central,percent_of_population_age_65_or_older,2019,14.34294506,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
48,Central,percent_of_population_identifying_as_nh_multiracial,2014,2.13233864,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
49,Central,percent_of_population_identifying_as_nh_asian_pi,2014,9.25338544,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
50,Central,percent_of_population_identifying_as_nh_black,2014,14.69968789,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
51,Central,percent_of_population_identifying_as_nh_multiracial,2019,3.0929641,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
52,Central,percent_of_population_identifying_as_hispanic,2020,6.29097659,Decennial Census,Planning district,5346237.8046875,12358.4878252745
53,Central Northeast,percent_of_population_identifying_as_nh_asian_pi,2014,12.28544221,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
54,Central Northeast,percent_of_population_identifying_as_nh_asian_pi,2020,16.68580939,Decennial Census,Planning district,6862063.9140625,14586.1736334805
55,Central Northeast,percent_of_population_identifying_as_nh_white,2023,43.60543008,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
56,Central Northeast,percent_of_population_identifying_as_hispanic,2010,11.03672093,Decennial Census,Planning district,6862063.9140625,14586.1736334805
57,Central Northeast,percent_of_population_identifying_as_nh_black,2020,14.96999672,Decennial Census,Planning district,6862063.9140625,14586.1736334805
58,Central Northeast,percent_of_population_with_a_disability,2023,16.70520231,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
59,Central Northeast,percent_of_population_with_a_disability,2019,14.88093819,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
60,Central Northeast,percent_of_population_identifying_as_hispanic,2014,11.82359243,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
61,Central Northeast,percent_of_population_identifying_as_nh_multiracial,2020,4.57315644,Decennial Census,Planning district,6862063.9140625,14586.1736334805
62,Central Northeast,percent_of_population_identifying_as_nh_black,2020,14.96999672,Decennial Census,Planning district,6862063.9140625,14586.1736334805
63,Central Northeast,percent_of_population_in_poverty,2014,15.53416863,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
64,Central Northeast,percent_of_population_identifying_as_nh_multiracial,2020,4.57315644,Decennial Census,Planning district,6862063.9140625,14586.1736334805
65,Central Northeast,percent_of_population_with_a_disability,2014,14.00531144,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
66,Central Northeast,percent_of_population_identifying_as_hispanic,2020,16.08339975,Decennial Census,Planning district,6862063.9140625,14586.1736334805
67,Central Northeast,percent_of_population_without_health_insurance,2019,10.57850452,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
68,Central Northeast,percent_of_population_age_65_or_older,2014,14.93849304,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
69,Central Northeast,percent_of_population_age_65_or_older,2019,15.47057305,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
70,Central Northeast,percent_of_population_identifying_as_hispanic,2019,16.98593798,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
71,Central Northeast,percent_of_population_identifying_as_hispanic,2020,16.08339975,Decennial Census,Planning district,6862063.9140625,14586.1736334805
72,Central Northeast,percent_of_population_without_health_insurance,2023,11.25963391,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
73,Central Northeast,percent_of_population_identifying_as_nh_asian_pi,2020,16.68580939,Decennial Census,Planning district,6862063.9140625,14586.1736334805
74,Central Northeast,unemployment_rate_in_population_16_and_older,2023,6.24867869,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
75,Central Northeast,percent_of_population_identifying_as_nh_multiracial,2019,2.55534427,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
76,Central Northeast,percent_of_population_identifying_as_nh_black,2019,17.46954011,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
77,Central Northeast,percent_of_population_in_poverty,2023,18.26761161,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
78,Central Northeast,percent_of_population_identifying_as_nh_white,2020,45.50419577,Decennial Census,Planning district,6862063.9140625,14586.1736334805
79,Central Northeast,percent_of_population_identifying_as_nh_multiracial,2010,1.78238315,Decennial Census,Planning district,6862063.9140625,14586.1736334805
80,Central Northeast,percent_of_population_identifying_as_nh_multiracial,2014,2.53660279,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
81,Central Northeast,percent_of_population_reporting_no_checkup_in_past_year,2019,21.23811361,Behavioral Risk Factor Surveillance System PLACES Small Area Estimates,Planning district,6862063.9140625,14586.1736334805
82,Central Northeast,percent_of_adult_population_without_bachelors_degree,2023,74.36370469,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
83,Central Northeast,percent_of_population_identifying_as_nh_asian_pi,2019,14.37190412,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
84,Central Northeast,percent_of_population_without_health_insurance,2014,17.55070014,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
85,Central Northeast,percent_of_population_reporting_no_checkup_in_past_year,2020,24.54674571,Behavioral Risk Factor Surveillance System PLACES Small Area Estimates,Planning district,6862063.9140625,14586.1736334805
86,Central Northeast,percent_of_population_identifying_as_nh_black,2023,17.08103622,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
87,Central Northeast,percent_of_population_identifying_as_nh_asian_pi,2010,11.87872128,Decennial Census,Planning district,6862063.9140625,14586.1736334805
88,Central Northeast,percent_of_population_identifying_as_nh_black,2010,11.62957095,Decennial Census,Planning district,6862063.9140625,14586.1736334805
89,Central Northeast,percent_of_population_identifying_as_nh_white,2020,45.50419577,Decennial Census,Planning district,6862063.9140625,14586.1736334805
90,Central Northeast,unemployment_rate_in_population_16_and_older,2014,12.19382329,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
91,Central Northeast,percent_of_population_in_poverty,2019,17.9838565,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
92,Central Northeast,percent_of_population_reporting_no_checkup_in_past_year,2021,25.62110367,Behavioral Risk Factor Surveillance System PLACES Small Area Estimates,Planning district,6862063.9140625,14586.1736334805
93,Central Northeast,percent_of_population_age_65_or_older,2023,18.43974154,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
94,Central Northeast,percent_of_population_identifying_as_nh_white,2019,46.64647745,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
95,Central Northeast,percent_of_population_identifying_as_hispanic,2023,17.15572944,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
96,Central Northeast,percent_of_population_identifying_as_nh_asian_pi,2023,15.82310748,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
97,Central Northeast,percent_of_population_identifying_as_nh_multiracial,2023,4.49463513,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
98,Central Northeast,percent_of_population_reporting_no_checkup_in_past_year,2022,22.1319992,Behavioral Risk Factor Surveillance System PLACES Small Area Estimates,Planning district,6862063.9140625,14586.1736334805
99,Central Northeast,percent_of_population_identifying_as_nh_white,2010,62.46901592,Decennial Census,Planning district,6862063.9140625,14586.1736334805
100,Central Northeast,percent_of_adult_population_without_bachelors_degree,2014,79.52679158,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
101,Central Northeast,percent_of_adult_population_without_bachelors_degree,2019,74.72852409,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
102,Central Northeast,percent_of_population_identifying_as_nh_black,2014,14.55898107,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
103,Central Northeast,percent_of_population_identifying_as_nh_white,2014,58.24187597,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
104,Central Northeast,unemployment_rate_in_population_16_and_older,2019,7.14223642,American Community Survey 5-Year Estimates,Planning district,6862063.9140625,14586.1736334805
105,Lower Far Northeast,percent_of_population_identifying_as_nh_black,2020,10.73911252,Decennial Census,Planning district,9255681.546875,16113.3913352436
106,Lower Far Northeast,percent_of_population_identifying_as_hispanic,2010,6.21268126,Decennial Census,Planning district,9255681.546875,16113.3913352436
107,Lower Far Northeast,percent_of_population_identifying_as_nh_black,2023,11.31721029,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
108,Lower Far Northeast,percent_of_population_reporting_no_checkup_in_past_year,2021,25.94844465,Behavioral Risk Factor Surveillance System PLACES Small Area Estimates,Planning district,9255681.546875,16113.3913352436
109,Lower Far Northeast,percent_of_population_reporting_no_checkup_in_past_year,2019,21.40492621,Behavioral Risk Factor Surveillance System PLACES Small Area Estimates,Planning district,9255681.546875,16113.3913352436
110,Lower Far Northeast,percent_of_adult_population_without_bachelors_degree,2014,79.80717699,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
111,Lower Far Northeast,percent_of_population_identifying_as_nh_asian_pi,2020,6.49539772,Decennial Census,Planning district,9255681.546875,16113.3913352436
112,Lower Far Northeast,percent_of_adult_population_without_bachelors_degree,2019,76.53258354,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
113,Lower Far Northeast,percent_of_population_identifying_as_nh_asian_pi,2020,6.49539772,Decennial Census,Planning district,9255681.546875,16113.3913352436
114,Lower Far Northeast,percent_of_population_identifying_as_nh_white,2020,68.9984888,Decennial Census,Planning district,9255681.546875,16113.3913352436
115,Lower Far Northeast,percent_of_population_identifying_as_nh_asian_pi,2023,5.77062229,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
116,Lower Far Northeast,percent_of_population_identifying_as_nh_multiracial,2014,1.32599941,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
117,Lower Far Northeast,percent_of_population_identifying_as_nh_multiracial,2023,3.12117333,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
118,Lower Far Northeast,percent_of_population_identifying_as_nh_black,2020,10.73911252,Decennial Census,Planning district,9255681.546875,16113.3913352436
119,Lower Far Northeast,percent_of_population_identifying_as_nh_multiracial,2020,3.11856024,Decennial Census,Planning district,9255681.546875,16113.3913352436
120,Lower Far Northeast,percent_of_population_reporting_no_checkup_in_past_year,2022,22.37493921,Behavioral Risk Factor Surveillance System PLACES Small Area Estimates,Planning district,9255681.546875,16113.3913352436
121,Lower Far Northeast,percent_of_adult_population_without_bachelors_degree,2023,72.71931361,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
122,Lower Far Northeast,percent_of_population_identifying_as_hispanic,2020,9.91070202,Decennial Census,Planning district,9255681.546875,16113.3913352436
123,Lower Far Northeast,percent_of_population_without_health_insurance,2019,5.90769741,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
124,Lower Far Northeast,percent_of_population_identifying_as_nh_multiracial,2020,3.11856024,Decennial Census,Planning district,9255681.546875,16113.3913352436
125,Lower Far Northeast,percent_of_population_identifying_as_nh_white,2020,68.9984888,Decennial Census,Planning district,9255681.546875,16113.3913352436
126,Lower Far Northeast,percent_of_population_identifying_as_nh_multiracial,2010,1.57947114,Decennial Census,Planning district,9255681.546875,16113.3913352436
127,Lower Far Northeast,percent_of_population_age_65_or_older,2023,16.81370366,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
128,Lower Far Northeast,unemployment_rate_in_population_16_and_older,2019,5.37005774,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
129,Lower Far Northeast,unemployment_rate_in_population_16_and_older,2014,10.97500614,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
130,Lower Far Northeast,percent_of_population_identifying_as_hispanic,2019,9.72850679,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
131,Lower Far Northeast,percent_of_population_identifying_as_nh_asian_pi,2019,4.42142148,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
132,Lower Far Northeast,percent_of_population_age_65_or_older,2014,16.3453576,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
133,Lower Far Northeast,percent_of_population_identifying_as_hispanic,2020,9.91070202,Decennial Census,Planning district,9255681.546875,16113.3913352436
134,Lower Far Northeast,percent_of_population_in_poverty,2019,8.39147314,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
135,Lower Far Northeast,percent_of_population_identifying_as_nh_black,2014,9.02802138,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
136,Lower Far Northeast,unemployment_rate_in_population_16_and_older,2023,5.90153841,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
137,Lower Far Northeast,percent_of_population_without_health_insurance,2023,4.38856634,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
138,Lower Far Northeast,percent_of_population_reporting_no_checkup_in_past_year,2020,25.23467542,Behavioral Risk Factor Surveillance System PLACES Small Area Estimates,Planning district,9255681.546875,16113.3913352436
139,Lower Far Northeast,percent_of_population_identifying_as_nh_multiracial,2019,1.76029136,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
140,Lower Far Northeast,percent_of_population_identifying_as_nh_asian_pi,2010,4.17827694,Decennial Census,Planning district,9255681.546875,16113.3913352436
141,Lower Far Northeast,percent_of_population_identifying_as_hispanic,2023,9.87698987,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
142,Lower Far Northeast,percent_of_population_without_health_insurance,2014,8.26636696,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
143,Lower Far Northeast,percent_of_population_with_a_disability,2023,14.1444941,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
144,Lower Far Northeast,percent_of_population_identifying_as_hispanic,2014,6.59070818,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
145,Lower Far Northeast,percent_of_population_identifying_as_nh_black,2019,10.83765589,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
146,Lower Far Northeast,percent_of_population_with_a_disability,2019,14.08015025,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
147,Lower Far Northeast,percent_of_population_identifying_as_nh_asian_pi,2014,5.74599745,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
148,Lower Far Northeast,percent_of_population_in_poverty,2014,9.6645525,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
149,Lower Far Northeast,percent_of_population_age_65_or_older,2019,16.28407461,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
150,Lower Far Northeast,percent_of_population_identifying_as_nh_black,2010,8.15894228,Decennial Census,Planning district,9255681.546875,16113.3913352436
151,Lower Far Northeast,percent_of_population_in_poverty,2023,9.72957125,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
152,Lower Far Northeast,percent_of_population_identifying_as_nh_white,2010,79.57634347,Decennial Census,Planning district,9255681.546875,16113.3913352436
153,Lower Far Northeast,percent_of_population_identifying_as_nh_white,2023,69.42279862,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
154,Lower Far Northeast,percent_of_population_identifying_as_nh_white,2019,72.85481735,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
155,Lower Far Northeast,percent_of_population_identifying_as_nh_white,2014,77.21806727,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
156,Lower Far Northeast,percent_of_population_with_a_disability,2014,14.22871593,American Community Survey 5-Year Estimates,Planning district,9255681.546875,16113.3913352436
157,Lower North,percent_of_population_identifying_as_nh_black,2020,54.19193994,Decennial Census,Planning district,4935099.1015625,10200.4857206614
158,Lower North,percent_of_population_identifying_as_nh_asian_pi,2020,5.16195589,Decennial Census,Planning district,4935099.1015625,10200.4857206614
159,Lower North,unemployment_rate_in_population_16_and_older,2019,14.19529973,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
160,Lower North,percent_of_population_identifying_as_hispanic,2020,14.63286496,Decennial Census,Planning district,4935099.1015625,10200.4857206614
161,Lower North,unemployment_rate_in_population_16_and_older,2014,20.97443858,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
162,Lower North,percent_of_population_identifying_as_hispanic,2019,16.39531784,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
163,Lower North,percent_of_population_age_65_or_older,2014,9.62373276,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
164,Lower North,percent_of_population_in_poverty,2019,41.85119679,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
165,Lower North,percent_of_population_identifying_as_nh_white,2020,22.10929515,Decennial Census,Planning district,4935099.1015625,10200.4857206614
166,Lower North,percent_of_population_identifying_as_nh_white,2020,22.10929515,Decennial Census,Planning district,4935099.1015625,10200.4857206614
167,Lower North,percent_of_adult_population_without_bachelors_degree,2023,71.0046554,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
168,Lower North,percent_of_population_identifying_as_nh_multiracial,2020,3.15028322,Decennial Census,Planning district,4935099.1015625,10200.4857206614
169,Lower North,percent_of_population_identifying_as_nh_white,2014,14.86344247,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
170,Lower North,percent_of_population_in_poverty,2014,46.00538652,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
171,Lower North,percent_of_adult_population_without_bachelors_degree,2019,81.35274004,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
172,Lower North,percent_of_adult_population_without_bachelors_degree,2014,88.95384906,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
173,Lower North,percent_of_population_identifying_as_nh_black,2023,53.13629451,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
174,Lower North,percent_of_population_identifying_as_nh_multiracial,2019,1.64586202,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
175,Lower North,percent_of_population_age_65_or_older,2019,10.40602372,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
176,Lower North,percent_of_population_reporting_no_checkup_in_past_year,2019,19.81788266,Behavioral Risk Factor Surveillance System PLACES Small Area Estimates,Planning district,4935099.1015625,10200.4857206614
177,Lower North,percent_of_population_identifying_as_hispanic,2014,17.07273835,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
178,Lower North,percent_of_population_identifying_as_nh_white,2010,13.85013028,Decennial Census,Planning district,4935099.1015625,10200.4857206614
179,Lower North,percent_of_population_identifying_as_nh_black,2010,67.03685803,Decennial Census,Planning district,4935099.1015625,10200.4857206614
180,Lower North,percent_of_population_identifying_as_nh_asian_pi,2010,2.0446331,Decennial Census,Planning district,4935099.1015625,10200.4857206614
181,Lower North,percent_of_population_identifying_as_nh_multiracial,2010,1.56762209,Decennial Census,Planning district,4935099.1015625,10200.4857206614
182,Lower North,percent_of_population_identifying_as_hispanic,2010,15.07312768,Decennial Census,Planning district,4935099.1015625,10200.4857206614
183,Lower North,percent_of_population_identifying_as_nh_black,2019,61.38776598,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
184,Lower North,percent_of_population_identifying_as_nh_black,2014,63.90670877,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
185,Lower North,percent_of_population_identifying_as_nh_asian_pi,2019,3.71262938,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
186,Lower North,percent_of_population_identifying_as_nh_asian_pi,2014,2.38213949,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
187,Lower North,percent_of_population_reporting_no_checkup_in_past_year,2021,23.64324004,Behavioral Risk Factor Surveillance System PLACES Small Area Estimates,Planning district,4935099.1015625,10200.4857206614
188,Lower North,percent_of_population_identifying_as_nh_multiracial,2014,1.41266412,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
189,Lower North,percent_of_population_identifying_as_hispanic,2020,14.63286496,Decennial Census,Planning district,4935099.1015625,10200.4857206614
190,Lower North,percent_of_population_identifying_as_nh_asian_pi,2020,5.16195589,Decennial Census,Planning district,4935099.1015625,10200.4857206614
191,Lower North,percent_of_population_identifying_as_nh_black,2020,54.19193994,Decennial Census,Planning district,4935099.1015625,10200.4857206614
192,Lower North,percent_of_population_identifying_as_nh_multiracial,2020,3.15028322,Decennial Census,Planning district,4935099.1015625,10200.4857206614
193,Lower North,percent_of_population_in_poverty,2023,34.47660066,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
194,Lower North,percent_of_population_reporting_no_checkup_in_past_year,2020,21.36746869,Behavioral Risk Factor Surveillance System PLACES Small Area Estimates,Planning district,4935099.1015625,10200.4857206614
195,Lower North,unemployment_rate_in_population_16_and_older,2023,12.74970397,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
196,Lower North,percent_of_population_age_65_or_older,2023,10.29170699,American Community Survey 5-Year Estimates,Planning district,4935099.1015625,10200.4857206614
