OBJECTID,GEOGRAPHY_NAME,YEAR,GEOGRAPHY,SEX,RACE_ETHNICITY,AGE_CATEGORY,LEADING_CAUSE_DEATH,METRIC_NAME,METRIC_VALUE,QUALITY_FLAG,ESTIMATE_TYPE,Shape__Area,Shape__Length
37,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Cancer,count_deaths,175,,Final,28221330.1835938,28401.8230651796
38,Central,2018,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,41.3120498,,Final,28221330.1835938,28401.8230651796
39,Central,2013,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,78.58119558,,Final,28221330.1835938,28401.8230651796
40,Central,2021,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,smoking_attributable_deaths,18.29731355,,Final,28221330.1835938,28401.8230651796
41,Central,2019,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,43.46131679,,Final,28221330.1835938,28401.8230651796
42,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,All causes,count_deaths,946,,Final,28221330.1835938,28401.8230651796
43,Central,2015,Planning district,All sexes,All races/ethnicities,35+,All causes,smoking_attributable_deaths,198.94183837,,Final,28221330.1835938,28401.8230651796
44,Central,2015,Planning district,All sexes,All races/ethnicities,35+,All causes,age_adjusted_smoking_attributable_mortality_rate_per_100k,347.03414882,,Final,28221330.1835938,28401.8230651796
45,Central,2015,Planning district,All sexes,All races/ethnicities,35+,Cancers,smoking_attributable_deaths,49.26385555,,Final,28221330.1835938,28401.8230651796
46,Central,2019,Planning district,All sexes,All races/ethnicities,35+,Cancers,smoking_attributable_deaths,40.8777348,,Final,28221330.1835938,28401.8230651796
47,Central,2019,Planning district,All sexes,All races/ethnicities,35+,Cancers,age_adjusted_smoking_attributable_mortality_rate_per_100k,70.46186577,,Final,28221330.1835938,28401.8230651796
48,Central,2012,Planning district,All sexes,All races/ethnicities,35+,All causes,smoking_attributable_deaths,200.02014749,,Final,28221330.1835938,28401.8230651796
49,Central,2012,Planning district,All sexes,All races/ethnicities,35+,All causes,age_adjusted_smoking_attributable_mortality_rate_per_100k,351.03656495,,Final,28221330.1835938,28401.8230651796
50,Central,2020,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,smoking_attributable_deaths,49.26894821,,Final,28221330.1835938,28401.8230651796
51,Central,2020,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,58.75507008,,Final,28221330.1835938,28401.8230651796
52,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Pancreatic cancer,age_adjusted_mortality_rate_per_100k,10.81178827,unreliable,Final,28221330.1835938,28401.8230651796
53,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Prostate cancer,count_deaths,11,,Final,28221330.1835938,28401.8230651796
54,Central,2013,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,smoking_attributable_deaths,44.86947328,,Final,28221330.1835938,28401.8230651796
55,Central,2018,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,smoking_attributable_deaths,23.75860123,,Final,28221330.1835938,28401.8230651796
56,Central,2014,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,71.85413033,,Final,28221330.1835938,28401.8230651796
57,Central,2018,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,80.84459281,,Final,28221330.1835938,28401.8230651796
58,Central,2016,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,81.70212641,,Final,28221330.1835938,28401.8230651796
59,Central,2017,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,smoking_attributable_deaths,52.12531363,,Final,28221330.1835938,28401.8230651796
60,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Breast cancer,age_adjusted_mortality_rate_per_100k,8.04480335,unreliable,Final,28221330.1835938,28401.8230651796
61,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Breast cancer,count_deaths,-99999,suppressed,Final,28221330.1835938,28401.8230651796
62,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Breast cancer,age_adjusted_mortality_rate_per_100k,-99999,suppressed,Final,28221330.1835938,28401.8230651796
63,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Colorectal cancer,count_deaths,16,,Final,28221330.1835938,28401.8230651796
64,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Lung cancer,age_adjusted_mortality_rate_per_100k,14.89933913,,Final,28221330.1835938,28401.8230651796
65,Central,2013,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,smoking_attributable_deaths,34.48619595,,Final,28221330.1835938,28401.8230651796
66,Central,2016,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,49.37964778,,Final,28221330.1835938,28401.8230651796
67,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Prostate cancer,age_adjusted_mortality_rate_per_100k,6.48752457,unreliable,Final,28221330.1835938,28401.8230651796
68,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Pancreatic cancer,age_adjusted_mortality_rate_per_100k,18.94208371,,Final,28221330.1835938,28401.8230651796
69,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Prostate cancer,count_deaths,12,,Final,28221330.1835938,28401.8230651796
70,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Prostate cancer,age_adjusted_mortality_rate_per_100k,10.23342979,unreliable,Final,28221330.1835938,28401.8230651796
71,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,All causes,count_deaths,732,,Final,28221330.1835938,28401.8230651796
72,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,All causes,age_adjusted_mortality_rate_per_100k,631.35120766,,Final,28221330.1835938,28401.8230651796
73,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,COVID-19,count_deaths,-99999,suppressed,Final,28221330.1835938,28401.8230651796
74,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,COVID-19,age_adjusted_mortality_rate_per_100k,-99999,suppressed,Final,28221330.1835938,28401.8230651796
75,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Cancer,count_deaths,181,,Final,28221330.1835938,28401.8230651796
76,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Cerebrovascular diseases,age_adjusted_mortality_rate_per_100k,33.60790521,,Final,28221330.1835938,28401.8230651796
77,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Chronic kidney disease,count_deaths,11,,Final,28221330.1835938,28401.8230651796
78,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Pancreatic cancer,count_deaths,18,,Final,28221330.1835938,28401.8230651796
79,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Lung cancer,age_adjusted_mortality_rate_per_100k,30.77998663,,Final,28221330.1835938,28401.8230651796
80,Central,2017,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,smoking_attributable_deaths,20.70155801,,Final,28221330.1835938,28401.8230651796
81,Central,2023,Planning district,All sexes,All races/ethnicities,35+,All causes,age_adjusted_smoking_attributable_mortality_rate_per_100k,233.15050254,,Preliminary,28221330.1835938,28401.8230651796
82,Central,2023,Planning district,All sexes,All races/ethnicities,35+,Cancers,smoking_attributable_deaths,35.01187128,,Preliminary,28221330.1835938,28401.8230651796
83,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,Unintentional injury (excluding drug overdose and motor vehicle crash),age_adjusted_mortality_rate_per_100k,15.90092125,unreliable,Final,28221330.1835938,28401.8230651796
84,Central,2019,Planning district,All sexes,All races/ethnicities,35+,All causes,smoking_attributable_deaths,214.74864026,,Final,28221330.1835938,28401.8230651796
85,Central,2019,Planning district,All sexes,All races/ethnicities,35+,All causes,age_adjusted_smoking_attributable_mortality_rate_per_100k,375.70004482,,Final,28221330.1835938,28401.8230651796
86,Central,2020,Planning district,All sexes,All races/ethnicities,35+,All causes,smoking_attributable_deaths,253.81533465,,Final,28221330.1835938,28401.8230651796
87,Central,2020,Planning district,All sexes,All races/ethnicities,35+,All causes,age_adjusted_smoking_attributable_mortality_rate_per_100k,309.38542215,,Final,28221330.1835938,28401.8230651796
88,Central,2022,Planning district,All sexes,All races/ethnicities,35+,All causes,smoking_attributable_deaths,204.1595,,Final,28221330.1835938,28401.8230651796
89,Central,2022,Planning district,All sexes,All races/ethnicities,35+,All causes,age_adjusted_smoking_attributable_mortality_rate_per_100k,254.25710915,,Final,28221330.1835938,28401.8230651796
90,Central,2012,Planning district,All sexes,All races/ethnicities,35+,Cancers,smoking_attributable_deaths,45.42997653,,Final,28221330.1835938,28401.8230651796
91,Central,2012,Planning district,All sexes,All races/ethnicities,35+,Cancers,age_adjusted_smoking_attributable_mortality_rate_per_100k,78.56823806,,Final,28221330.1835938,28401.8230651796
92,Central,2020,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,smoking_attributable_deaths,22.77146624,,Final,28221330.1835938,28401.8230651796
93,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Pancreatic cancer,count_deaths,22,,Final,28221330.1835938,28401.8230651796
94,Central,2012,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,smoking_attributable_deaths,24.06116761,,Final,28221330.1835938,28401.8230651796
95,Central,2022,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,27.49730711,,Final,28221330.1835938,28401.8230651796
96,Central,2018,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,smoking_attributable_deaths,46.90163279,,Final,28221330.1835938,28401.8230651796
97,Central,2016,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,smoking_attributable_deaths,46.83785183,,Final,28221330.1835938,28401.8230651796
98,Central,2017,Planning district,All sexes,All races/ethnicities,35+,Cancers,age_adjusted_smoking_attributable_mortality_rate_per_100k,67.96345283,,Final,28221330.1835938,28401.8230651796
99,Central,2021,Planning district,All sexes,All races/ethnicities,35+,Cancers,age_adjusted_smoking_attributable_mortality_rate_per_100k,53.81411531,,Final,28221330.1835938,28401.8230651796
100,Central,2012,Planning district,Male,All races/ethnicities,At birth,All causes,life_expectancy_at_birth,75.93015981,,Final,28221330.1835938,28401.8230651796
101,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,Breast cancer,count_deaths,10,,Final,28221330.1835938,28401.8230651796
102,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,Breast cancer,age_adjusted_mortality_rate_per_100k,8.97384954,unreliable,Final,28221330.1835938,28401.8230651796
103,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,Colorectal cancer,count_deaths,10,,Final,28221330.1835938,28401.8230651796
104,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Colorectal cancer,age_adjusted_mortality_rate_per_100k,14.44316753,unreliable,Final,28221330.1835938,28401.8230651796
105,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Lung cancer,count_deaths,35,,Final,28221330.1835938,28401.8230651796
106,Central,2020,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,27.2362405,,Final,28221330.1835938,28401.8230651796
107,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,Pancreatic cancer,count_deaths,12,,Final,28221330.1835938,28401.8230651796
108,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,Pancreatic cancer,age_adjusted_mortality_rate_per_100k,10.45039389,unreliable,Final,28221330.1835938,28401.8230651796
109,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,Prostate cancer,count_deaths,-99999,suppressed,Final,28221330.1835938,28401.8230651796
110,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,Prostate cancer,age_adjusted_mortality_rate_per_100k,-99999,suppressed,Final,28221330.1835938,28401.8230651796
111,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,All causes,count_deaths,756,,Final,28221330.1835938,28401.8230651796
112,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,All causes,age_adjusted_mortality_rate_per_100k,648.01384331,,Final,28221330.1835938,28401.8230651796
113,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,COVID-19,count_deaths,-99999,suppressed,Final,28221330.1835938,28401.8230651796
114,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,COVID-19,age_adjusted_mortality_rate_per_100k,-99999,suppressed,Final,28221330.1835938,28401.8230651796
115,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,Cancer,count_deaths,168,,Final,28221330.1835938,28401.8230651796
116,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Cancer,age_adjusted_mortality_rate_per_100k,155.17939354,,Final,28221330.1835938,28401.8230651796
117,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Cerebrovascular diseases,count_deaths,32,,Final,28221330.1835938,28401.8230651796
118,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Chronic kidney disease,age_adjusted_mortality_rate_per_100k,6.49444728,unreliable,Final,28221330.1835938,28401.8230651796
119,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,Lung cancer,age_adjusted_mortality_rate_per_100k,28.30038991,,Final,28221330.1835938,28401.8230651796
120,Central,2020,Planning district,All sexes,All races/ethnicities,<1,All causes,count_perinatal_deaths,-99999,suppressed,Final,28221330.1835938,28401.8230651796
121,Central,2023,Planning district,All sexes,All races/ethnicities,35+,All causes,smoking_attributable_deaths,188.11562308,,Preliminary,28221330.1835938,28401.8230651796
122,Central,2015,Planning district,All sexes,All races/ethnicities,All ages,Unintentional injury (excluding drug overdose and motor vehicle crash),age_adjusted_mortality_rate_per_100k,16.93636531,unreliable,Final,28221330.1835938,28401.8230651796
123,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,Unintentional injury (excluding drug overdose and motor vehicle crash),count_deaths,19,,Final,28221330.1835938,28401.8230651796
124,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Unintentional injury (excluding drug overdose and motor vehicle crash),count_deaths,14,,Final,28221330.1835938,28401.8230651796
125,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Unintentional injury (excluding drug overdose and motor vehicle crash),age_adjusted_mortality_rate_per_100k,9.93717236,unreliable,Final,28221330.1835938,28401.8230651796
126,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Unintentional injury (excluding drug overdose and motor vehicle crash),count_deaths,12,,Final,28221330.1835938,28401.8230651796
127,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Unintentional injury (excluding drug overdose and motor vehicle crash),age_adjusted_mortality_rate_per_100k,10.44382815,unreliable,Final,28221330.1835938,28401.8230651796
128,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,Unintentional drug overdose,age_adjusted_mortality_rate_per_100k,12.0208343,unreliable,Final,28221330.1835938,28401.8230651796
129,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,Unintentional injury (excluding drug overdose and motor vehicle crash),count_deaths,13,,Final,28221330.1835938,28401.8230651796
130,Central,2022,Planning district,All sexes,All races/ethnicities,35+,Cancers,smoking_attributable_deaths,35.90588612,,Final,28221330.1835938,28401.8230651796
131,Central,2022,Planning district,All sexes,All races/ethnicities,35+,Cancers,age_adjusted_smoking_attributable_mortality_rate_per_100k,42.65703301,,Final,28221330.1835938,28401.8230651796
132,Central,2012,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,smoking_attributable_deaths,48.70939707,,Final,28221330.1835938,28401.8230651796
133,Central,2012,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,85.02980166,,Final,28221330.1835938,28401.8230651796
134,Central,2022,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,smoking_attributable_deaths,22.56046968,,Final,28221330.1835938,28401.8230651796
135,Central,2014,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,smoking_attributable_deaths,40.88897036,,Final,28221330.1835938,28401.8230651796
136,Central,2016,Planning district,All sexes,All races/ethnicities,35+,Cancers,age_adjusted_smoking_attributable_mortality_rate_per_100k,93.38495904,,Final,28221330.1835938,28401.8230651796
137,Central,2017,Planning district,All sexes,All races/ethnicities,35+,Cancers,smoking_attributable_deaths,39.7502228,,Final,28221330.1835938,28401.8230651796
138,Central,2021,Planning district,All sexes,All races/ethnicities,35+,Cancers,smoking_attributable_deaths,44.34750691,,Final,28221330.1835938,28401.8230651796
139,Central,2013,Planning district,All sexes,All races/ethnicities,35+,All causes,smoking_attributable_deaths,207.10203568,,Final,28221330.1835938,28401.8230651796
140,Central,2019,Planning district,Male,All races/ethnicities,At birth,All causes,life_expectancy_at_birth,76.12082121,,Final,28221330.1835938,28401.8230651796
141,Central,2014,Planning district,All sexes,All races/ethnicities,<1,All causes,infant_mortality_rate_per_1k_live_births,7.3755378,unreliable,Final,28221330.1835938,28401.8230651796
142,Central,2014,Planning district,Female,All races/ethnicities,At birth,All causes,life_expectancy_at_birth,84.16305432,,Final,28221330.1835938,28401.8230651796
143,Central,2014,Planning district,Male,All races/ethnicities,At birth,All causes,life_expectancy_at_birth,77.58063373,,Final,28221330.1835938,28401.8230651796
144,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,Colorectal cancer,age_adjusted_mortality_rate_per_100k,9.18709837,unreliable,Final,28221330.1835938,28401.8230651796
145,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,Lung cancer,count_deaths,32,,Final,28221330.1835938,28401.8230651796
146,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,Colorectal cancer,count_deaths,11,,Final,28221330.1835938,28401.8230651796
147,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,Colorectal cancer,age_adjusted_mortality_rate_per_100k,10.08275821,unreliable,Final,28221330.1835938,28401.8230651796
148,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,Lung cancer,count_deaths,47,,Final,28221330.1835938,28401.8230651796
149,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,Lung cancer,age_adjusted_mortality_rate_per_100k,40.49037052,,Final,28221330.1835938,28401.8230651796
150,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,Pancreatic cancer,count_deaths,14,,Final,28221330.1835938,28401.8230651796
151,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,Pancreatic cancer,age_adjusted_mortality_rate_per_100k,12.09295148,unreliable,Final,28221330.1835938,28401.8230651796
152,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,Prostate cancer,count_deaths,-99999,suppressed,Final,28221330.1835938,28401.8230651796
153,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,Prostate cancer,age_adjusted_mortality_rate_per_100k,-99999,suppressed,Final,28221330.1835938,28401.8230651796
154,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,All causes,count_deaths,709,,Final,28221330.1835938,28401.8230651796
155,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,All causes,age_adjusted_mortality_rate_per_100k,602.27085796,,Final,28221330.1835938,28401.8230651796
156,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,Cancer,age_adjusted_mortality_rate_per_100k,157.60886802,,Final,28221330.1835938,28401.8230651796
157,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,Cerebrovascular diseases,count_deaths,46,,Final,28221330.1835938,28401.8230651796
158,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Cerebrovascular diseases,age_adjusted_mortality_rate_per_100k,25.87166338,,Final,28221330.1835938,28401.8230651796
159,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Chronic lower respiratory diseases,count_deaths,25,,Final,28221330.1835938,28401.8230651796
160,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Chronic lower respiratory diseases,age_adjusted_mortality_rate_per_100k,15.08195425,,Final,28221330.1835938,28401.8230651796
161,Central,2021,Planning district,All sexes,All races/ethnicities,<1,All causes,count_perinatal_deaths,-99999,suppressed,Final,28221330.1835938,28401.8230651796
162,Central,2015,Planning district,All sexes,All races/ethnicities,All ages,Unintentional injury (excluding drug overdose and motor vehicle crash),count_deaths,20,,Final,28221330.1835938,28401.8230651796
163,Central,2023,Planning district,All sexes,All races/ethnicities,All ages,Unintentional injury (excluding drug overdose and motor vehicle crash),age_adjusted_mortality_rate_per_100k,12.1365954,unreliable,Preliminary,28221330.1835938,28401.8230651796
164,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Unintentional drug overdose,age_adjusted_mortality_rate_per_100k,19.2696103,,Final,28221330.1835938,28401.8230651796
165,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,Unintentional drug overdose,age_adjusted_mortality_rate_per_100k,10.93274602,unreliable,Final,28221330.1835938,28401.8230651796
166,Central,2022,Planning district,All sexes,All races/ethnicities,All ages,Unintentional injury (excluding drug overdose and motor vehicle crash),count_deaths,30,,Final,28221330.1835938,28401.8230651796
167,Central,2022,Planning district,All sexes,All races/ethnicities,All ages,Unintentional injury (excluding drug overdose and motor vehicle crash),age_adjusted_mortality_rate_per_100k,25.62257958,,Final,28221330.1835938,28401.8230651796
